chapter,position,name,type,link
25,4,The King,Flashback,List of Characters/Minor#Beyond Journey's End Arc
25,5,Demon King,Mentioned,
25,6,Frieren,,
25,7,Fern,,
25,8,Stark,,
25,9,49th village chief,Debut,List of Characters/Minor#Travels to Äußerst Arc
25,10,Goddess of Creation,Mentioned,
25,11,47th village chief,Flashback Debut,List of Characters/Minor#Travels to Äußerst Arc
26,1,Frieren,,
26,2,Fern,,
26,3,Stark,,
26,4,Flamme,Mentioned,
26,5,Merchant lady,Debut,List of Characters/Minor#Travels to Äußerst Arc
26,6,Kids,Debut,List of Characters/Minor#Travels to Äußerst Arc
26,7,Kid with cat,Debut,List of Characters/Minor#Travels to Äußerst Arc
26,8,Cattle breeder,Debut,List of Characters/Minor#Travels to Äußerst Arc
26,9,Stark's father,Flashback Debut,List of Characters/Minor#Travels to Äußerst Arc
26,10,Stoltz,Flashback Debut,
26,11,Rivale,Cameo,
26,12,Eisen,Flashback,
26,13,Himmel,Flashback,
26,14,Heiter,Flashback,
27,1,Sein,Debut,
27,2,Frieren,,
27,3,Gorilla,Flashback Cameo,Kreis
27,4,Fern,,
27,5,Stark,,
27,6,Sein's Brother,Debut,List of Characters/Minor#Travels to Äußerst Arc
27,7,Heiter,Flashback,
27,8,Eisen,Flashback,
27,9,Himmel,Flashback,
27,10,Demon King,Mentioned,
28,1,Fern,,
28,2,Stark,,
28,3,Frieren,,
28,4,Sein,,
28,5,Sein's Brother,Appears,
28,6,Gorilla,Flashback Cameo,Kreis
28,7,Flamme,Mentioned,
28,8,Himmel,Flashback,
28,9,Heiter,Flashback,
28,10,Eisen,Flashback,
29,1,Stark,,
29,2,Frieren,,
29,3,Fern,,
29,4,Sein,,
29,5,Heiter,Flashback,
29,6,Eisen,Flashback,
29,7,Himmel,Flashback,
29,8,Goddess of Creation,Mentioned,
30,1,Accessory merchant,Debut,List of Characters/Minor#Travels to Äußerst Arc
30,2,Stark,,
30,3,Frieren,,
30,4,Fern,,
30,5,Sein,,
30,6,Eisen,Flashback,
30,7,Heiter,Flashback,
30,8,Himmel,Flashback,
31,1,Sein,,
31,2,Frieren,,
31,3,Fern,,
31,4,Stark,,
31,5,Village chief,Debut,List of Characters/Minor#Travels to Äußerst Arc
31,6,Heiter,Flashback,
31,7,Gorilla,Flashback,Kreis
31,8,Demon King,Flashback Mentioned,
32,1,Frieren,,
32,2,Fern,,
32,3,Stark,,
32,4,Sein,,
32,5,Lord Orden,Debut,List of Characters/Minor#Named Characters
32,6,Gabel,Debut,
32,7,Wirt,Flashback Debut,List of Characters/Minor#Named Characters
32,8,Mut,Debut,List of Characters/Minor#Named Characters
32,9,Stark's father,Flashback,List of Characters/Minor#Travels to Äußerst Arc
32,10,Eisen,Flashback,
33,1,Frieren,,
33,2,Fern,,
33,3,Stark,,
33,4,Sein,,
33,5,Voll,Debut,
33,6,Klar Region Villager,Debut,List of Characters/Minor#Travels to Äußerst Arc
33,7,Himmel,Flashback,
33,8,Heiter,Flashback,
33,9,Eisen,Flashback,
33,10,Voll's wife,Flashback Debut,List of Characters/Minor#Travels to Äußerst Arc
33,11,Demon King,Mentioned,
34,1,Frieren,,
34,2,Fern,,
34,3,Stark,,
34,4,Sein,,
34,5,Gorilla,Flashback Debut,Kreis
34,6,Rohr Road Villager,Debut,List of Characters/Minor#Travels to Äußerst Arc
34,7,Stubborn old woman,Debut,List of Characters/Minor#Travels to Äußerst Arc
34,8,Kraft's partner,Statue Debut,List of Characters/Minor#Travels to Äußerst Arc
34,9,Nagel,Debut,List of Characters/Minor#Travels to Äußerst Arc
34,10,Himmel,Flashback,
34,11,Heiter,Flashback,
34,12,Kraft,Flashback,
34,13,Demon King,Mentioned,
35,1,Frieren,,
35,2,Fern,,
35,3,Gorilla,Mentioned,Kreis
35,4,Stark,,
35,5,Sein,,
35,6,Rohr Road Elder,Debut,List of Characters/Minor#Travels to Äußerst Arc
35,7,Shady old man,Debut,List of Characters/Minor#Travels to Äußerst Arc
35,8,Himmel,Flashback,
35,9,Heiter,Flashback,
35,10,Eisen,Flashback,
36,1,Stark,,
36,2,Frieren,,
36,3,Fern,,
36,4,Sein,Mentioned,
36,5,Cabin owner,Debut,List of Characters/Minor#Travels to Äußerst Arc
36,6,Himmel,Flashback,
36,7,Heiter,Flashback,
36,8,Eisen,Flashback,
37,1,Frieren,,
37,2,Fern,,
37,3,Stark,,
37,4,Qual,Flashback,
37,5,Übel,Debut,
37,6,Bandits,Debut,List of Characters/Minor#First-Class Mage Exam Arc
37,7,Aura,Mentioned,
37,8,Kraft,,
37,9,CMA Receptionist,Debut,List of Characters/Minor#First-Class Mage Exam Arc
37,10,Lernen,Cameo,
37,11,Himmel,Flashback,
37,12,Heiter,Flashback,
37,13,Eisen,Flashback,
37,14,Genau,Debut,
37,15,Falsch,Cameo,
37,16,Sense,Cameo,
37,17,Wirbel,Debut,
37,18,Denken,Debut,
37,19,Lawine,Cameo,
37,20,Kanne,Cameo,
37,21,Land,Cameo,
38,1,Richter,Cameo,
38,2,Denken,,
38,3,Laufen,Cameo,
38,4,Fern,,
38,5,Land,Cameo,
38,6,Übel,,
38,7,Lawine,Debut,
38,8,Kanne,Debut,
38,9,Frieren,,
38,10,Genau,,
38,11,Heiter,Flashback,
38,12,Eisen,Flashback,
38,13,Himmel,Flashback,
39,1,Frieren,,
39,2,Lawine,,
39,3,Kanne,,
39,4,Fern,,
39,5,Übel,,
39,6,Land,Debut,
39,7,Wirbel,,
39,8,Ehre,Cameo,
39,9,Scharf,Cameo,
39,10,Party that tries to melt the lake,Debut,List of Characters/Minor#First-Class Mage Exam Arc
39,11,Edel,Cameo,
39,12,Blei,Cameo,
39,13,Dünste,Cameo,
39,14,Denken,,
39,15,Richter,Cameo,
39,16,Laufen,Cameo,
40,1,Stark,Chapter Cover,
40,2,Denken,,
40,3,Richter,Debut,
40,4,Laufen,Debut,
40,5,Edel,Cameo,
40,6,Blei,Cameo,
40,7,Dünste,Cameo,
40,8,Inexperienced party killed by Geisels,Debut,List of Characters/Minor#First-Class Mage Exam Arc
40,9,Complaining party,Debut,List of Characters/Minor#First-Class Mage Exam Arc
40,10,Genau,,
40,11,Methode,Cameo,
40,12,Länge,Cameo,
40,13,Ton,Cameo,
40,14,Lawine,,
40,15,Kanne,,
40,16,Frieren,,
40,17,Fern,,
40,18,Ehre,Cameo,
40,19,Übel,,
40,20,Wirbel,,
41,1,Stark,Chapter Cover,
41,2,Scharf,Debut,
41,3,Land,,
41,4,Ehre,Debut,
41,5,Fern,,
41,6,Lernen,Mentioned (Indirectly),
41,7,Frieren,Imagined,
41,8,Wirbel,,
41,9,Übel,,
42,1,Fern,,
42,2,Wirbel,,
42,3,Übel,,
42,4,Land,,
42,5,Scharf,,
42,6,Ehre,,
42,7,Wirbel's childhood crush,Flashback Debut,List of Characters/Minor#First-Class Mage Exam Arc
42,8,Lernen,Mentioned (Indirectly),
42,9,Laufen,,
42,10,Frieren,,
42,11,Kanne,,
42,12,Lawine,,
42,13,Denken,,
43,1,Laufen,,
43,2,Frieren,,
43,3,Lawine,,
43,4,Kanne,,
43,5,Genau,,
43,6,Sense,Debut,
43,7,Denken,,
43,8,Richter,,
43,9,Serie,Flashback Debut,
43,10,Demon King,Mentioned,
43,11,Goddess of Creation,Imagined,
43,12,Falsch,Imagined,
43,13,Flamme,Flashback,
44,1,Richter,,
44,2,Lawine,,
44,3,Kanne,,
44,4,Frieren,,
44,5,Denken,,
44,6,Genau,,
44,7,Sense,,
44,8,Serie,Mentioned,
44,9,Laufen,,
45,1,Richter,,
45,2,Lawine,,
45,3,Kanne,,
45,4,Frieren,,
45,5,Denken,,
45,6,Laufen,,
45,7,Genau,,
45,8,Sense,,
45,9,Serie,,
45,10,Land,,
45,11,Übel,,
45,12,Fern,,
45,13,Party with one member dead,Debut,List of Characters/Minor#First-Class Mage Exam Arc
45,14,Edel,Cameo,
45,15,Blei,Cameo,
45,16,Dünste,Cameo,
45,17,Wirbel,,
45,18,Ehre,,
45,19,Scharf,,
45,20,Complaining party,,List of Characters/Minor#First-Class Mage Exam Arc
45,21,Methode,Cameo,
45,22,Ton,Cameo,
45,23,Länge,Cameo,
45,24,Stark,,
45,25,Äußerst bartender,Debut,List of Characters/Minor#First-Class Mage Exam Arc
46,1,Genau,,
46,2,Methode,Debut,
46,3,Ton,Debut,
46,4,Länge,Debut,
46,5,Frieren,,
46,6,Kanne,,
46,7,Lawine,,
46,8,Fern,,
46,9,Übel,,
46,10,Land,,
46,11,Wirbel,,
46,12,Ehre,,
46,13,Scharf,,
46,14,Denken,,
46,15,Richter,,
46,16,Laufen,,
46,17,Edel,Debut,
46,18,Blei,Debut,
46,19,Dünste,Debut,
46,20,Stark,,
46,21,Old lady,Debut,List of Characters/Minor#First-Class Mage Exam Arc
46,22,Denken's wife,Mentioned,
46,23,Lecker,Flashback Debut,List of Characters/Minor#Named Characters
46,24,Himmel,Flashback,
46,25,Heiter,Flashback,
46,26,Eisen,Flashback,
47,1,Stark,,
47,2,Art of War old man,Debut,List of Characters/Minor#First-Class Mage Exam Arc
47,3,Frieren,,
47,4,Fern,,
47,5,Kanne,,
47,6,Wirbel,,
47,7,Scharf,,
47,8,No-good warrior,Debut,List of Characters/Minor#First-Class Mage Exam Arc
47,9,Lawine,,
47,10,Lawine's brothers,Flashback Debut,List of Characters/Minor#First-Class Mage Exam Arc
47,11,Lawine's mother,Flashback Debut,List of Characters/Minor#First-Class Mage Exam Arc
47,12,Himmel,Flashback,
47,13,Heiter,Flashback,
47,14,Eisen,Flashback,
47,15,Young girl Himmel helps,Flashback Debut,List of Characters/Minor#First-Class Mage Exam Arc
47,16,Denken,,
47,17,Richter,,
47,18,Laufen,,
47,19,Länge,,
47,20,Land,,
47,21,Übel,,
47,22,Edel,,
47,23,Blei,,
47,24,Dünste,,
47,25,Ton,,
47,26,Methode,,
47,27,Ehre,,
47,28,Sense,,
47,29,Genau,,
48,1,Sense,,
48,2,Frieren,,
48,3,Fern,,
48,4,Blei,,
48,5,Dünste,,
48,6,Methode,,
48,7,Länge,,
48,8,Lernen,Mentioned,
48,9,Edel,,
48,10,Land,,
48,11,Übel,,
48,12,Ehre,,
48,13,Ton,,
48,14,Laufen,,
48,15,Denken,,
48,16,Kanne,,
48,17,Lawine,,
48,18,Wirbel,,
48,19,Scharf,,
48,20,Richter,,
48,21,Himmel,Flashback,
48,22,Heiter,Flashback,
48,23,Eisen,Flashback,
49,1,Denken,,
49,2,Richter,,
49,3,Methode,,
49,4,Laufen and clone,Appears/Debut,Laufen
49,5,Länge,,
49,6,Frieren and clone,Appears/Debut,Frieren
49,7,Fern,,
49,8,Sense,,
49,9,Heiter,Flashback,
49,10,Wirbel and clone,Appears/Debut,Wirbel
49,11,Ehre and clone,Appears/Debut,Ehre
49,12,Scharf and clone,Appears/Debut,Scharf
50,1,Frieren and clone,,Frieren
50,2,Denken,,
50,3,Richter,,
50,4,Methode,,
50,5,Laufen,,
50,6,Genau,,
50,7,Falsch,Cameo,
50,8,Ewig the Sage,Imagined Debut,
50,9,Übel and clone,Appears/Debut,Übel
50,10,Land,,
50,11,Sense,,
50,12,Fern,,
51,1,Frieren and clone,,Frieren
51,2,Fern,,
51,3,Denken,,
51,4,Methode,,
51,5,Richter,,
51,6,Sense and clone,Appears/Debut,Sense
51,7,Edel,,
51,8,Dünste,,
51,9,Blei,,
51,10,Ehre,Imagined,
51,11,Kanne,Imagined,
52,1,Dünste,,
52,2,Laufen,,
52,3,Fern,,
52,4,Frieren and clone,,Frieren
52,5,Methode,,
52,6,Denken,,
52,7,Edel,Flashback,
52,8,Blei,Flashback,
52,9,Sense and clone,Appears/Flashback,Sense
52,10,Richter,,
52,11,Lawine,,
52,12,Kanne,,
52,13,CMA advance party,Debut,List of Characters/Minor#First-Class Mage Exam Arc
52,14,Heiter,Flashback,
52,15,Eisen,Flashback,
52,16,Himmel,Flashback,
53,1,Stark,Chapter Cover,
53,2,Frieren and clone,,Frieren
53,3,Fern,,
53,4,Kanne,,
53,5,Lawine,,
53,6,Denken,,
53,7,Richter,,
53,8,Methode,,
53,9,Laufen,,
53,10,Dünste,,
53,11,Serie,Flashback,
53,12,Flamme,Flashback,
53,13,Demon King,Mentioned,
54,1,Frieren and clone,,Frieren
54,2,Fern,,
54,3,Richter and clone,Appears/Debut,Richter
54,4,Lawine and clone,Appears/Debut,Lawine
54,5,Kanne and clone,Appears/Debut,Kanne
54,6,Denken,,
54,7,Methode and clone,Appears/Debut,Methode
54,8,Laufen,,
54,9,Sense and clone,,Sense
54,10,Übel,,
54,11,Land,,
54,12,Burg,Flashback Debut,
54,13,Falsch,Flashback Cameo,
54,14,Übel's sister,Flashback Debut,List of Characters/Minor#First-Class Mage Exam Arc
55,1,Wirbel and clone,,Wirbel
55,2,Methode and clone,,Methode
55,3,Scharf and clone,,Scharf
55,4,Ehre and clone,,Ehre
55,5,Frieren and clone,,Frieren
55,6,Fern and clone,Appears/Debut,Fern
55,7,Denken and clone,Appears/Debut,Denken
55,8,Land and clone,Appears/Debut,Land
55,9,Übel and clone,Appears/Reappears,Übel
55,10,Kanne and clone,Appears/Reappears,Kanne
55,11,Dünste,,
55,12,Laufen and clone,Appears/Reappears,Laufen
55,13,Ton,,
55,14,Richter and clone,,Richter
55,15,Edel,,
55,16,Lawine and clone,Appears/Reappears,Lawine
55,17,Länge,,
55,18,Blei,,
56,1,Stark,,
56,2,Art of War old man,,List of Characters/Minor#First-Class Mage Exam Arc
56,3,Fern,,
56,4,Heiter,Flashback,
56,5,Lawine,,
56,6,Kanne,,
56,7,Frieren,,
56,8,Richter,,
56,9,Denken,,
56,10,Laufen,,
56,11,Sense's clone,Flashback,Sense
56,12,Falsch,Cameo,
56,13,Wirbel,,
56,14,Scharf,,
56,15,Ehre,,
56,16,Übel,,
56,17,Land,,
56,18,Methode,,
56,19,Dünste,,
57,1,Serie,,
57,2,Sense,,
57,3,Genau,,
57,4,Falsch,Debut,
57,5,Lernen,Debut,
57,6,Demon King,Mentioned,
57,7,Frieren,,
57,8,Fern,,
57,9,Kanne,,
57,10,Dünste,,
57,11,Laufen,,
57,12,Scharf,,
57,13,Ehre,,
57,14,Himmel,Flashback,
57,15,Heiter,Flashback,
57,16,Eisen,Flashback,
57,17,Flamme,Mentioned,
58,1,Fern,,
58,2,Serie,,
58,3,Frieren,Flashback,
58,4,Denken,,
58,5,Übel,,
58,6,Land,,
58,7,Wirbel,,
58,8,Methode,,
58,9,Sense,,
58,10,Scharf,,
58,11,Ehre,,
58,12,Kanne,,
58,13,Denken's wife,Mentioned,
59,1,Fern,,
59,2,Stark,,
59,3,Laufen,,
59,4,Denken,,
59,5,Denken's wife,Flashback,
59,6,Glück,Mentioned (Indirectly),
59,7,Serie,Imagined,
59,8,Emperor,Cameo,
59,9,Frieren,,
59,10,Old woman that drops fruits,Debut,List of Characters/Minor#First-Class Mage Exam Arc
59,11,Wirbel,,
59,12,Übel,Flashback,
59,13,Böse,Imagined Debut,
59,14,Himmel,Flashback,
59,15,Heiter,Flashback,
59,16,Eisen,Flashback,
59,17,Demon that attacked Wirbel's hometown,Flashback Debut,List of Characters/Minor#First-Class Mage Exam Arc
59,18,Scharf,,
59,19,Ehre,,
59,20,Demon King,Mentioned,
60,1,Frieren,,
60,2,Fern,,
60,3,Stark,,
60,4,CMA Receptionist,,List of Characters/Minor#First-Class Mage Exam Arc
60,5,Lernen,,
60,6,Demon King,Mentioned,
60,7,Serie,Flashback,
60,8,Flamme,Mentioned,
60,9,Serie's other students,Flashback Debut,List of Characters/Minor#First-Class Mage Exam Arc
60,10,Art of War old man,,List of Characters/Minor#First-Class Mage Exam Arc
60,11,Lawine,,
60,12,Kanne,,
60,13,Sein,Mentioned,
60,14,Himmel,Flashback,
60,15,Eisen,Flashback,
60,16,Heiter,Flashback,
60,17,Traveler who was with the Hero Party for 2 weeks,Flashback Debut,List of Characters/Minor#First-Class Mage Exam Arc
60,18,Ehre,,
60,19,Wirbel,,
60,20,Scharf,,
60,21,Richter,,
60,22,Laufen,,
60,23,Denken,,
60,24,Methode,,
60,25,Länge,,
60,26,Ton,,
60,27,Übel,,
61,1,Stark,,
61,2,Fern,,
61,3,Frieren,,
61,4,Eisen,Flashback,
61,5,Himmel,Flashback,
61,6,Heiter,Flashback,
62,1,Stark,,
62,2,Frieren,,
62,3,Fern,,
62,4,Wirbel,,
62,5,Ehre,,
62,6,Scharf,,
62,7,Sein,Flashback,
63,1,Chief of Fabel Village,Debut,List of Characters/Minor#Continued Northern Travels Arc
63,2,Frieren,,
63,3,Fern,,
63,4,Stark,,
63,5,Schlacht,Imagined Debut,
63,6,Seven Sages Of Destruction,Cameo,Seven Sages of Destruction
63,7,Macht,Cameo,
63,8,Grausam,Cameo,
63,9,Aura,Imagined,
63,10,Böse,Imagined,
63,11,Hero of the South,Flashback Debut,
63,12,Heiter,Flashback,
63,13,Himmel,Flashback,
63,14,Eisen,Flashback,
63,15,Demon King,Mentioned,
64,1,Stark,,
64,2,Frieren,,
64,3,Fern,,
64,4,Graf Dach's Butler,Debut,List of Characters/Minor#Continued Northern Travels Arc
64,5,Graf Dach,Debut,
64,6,Dach's great-grandfather,Flashback Debut,List of Characters/Minor#Continued Northern Travels Arc
64,7,Eisen,Flashback,
64,8,Himmel,Flashback,
64,9,Heiter,Flashback,
64,10,The demon who previously stole Graf Dach's heirloom sword,Flashback Debut,List of Characters/Minor#Continued Northern Travels Arc
64,11,Sword demon,Debut,List of Characters/Minor#Continued Northern Travels Arc
65,1,Frieren,,
65,2,Fern,,
65,3,Stark,,
65,4,Etwas Mountains family,Debut,List of Characters/Minor#Continued Northern Travels Arc
65,5,Eisen,Flashback,
65,6,Heiter,Flashback,
65,7,Himmel,Flashback,
66,1,Frieren,,
66,2,Fern,,
66,3,Stark,,
66,4,Himmel,Flashback,
66,5,Heiter,Flashback,
66,6,Eisen,Flashback,
66,7,Bathhouse woman,Debut,List of Characters/Minor#Continued Northern Travels Arc
67,1,Fern,,
67,2,Stark,,
67,3,Frieren,,
67,4,Himmel,Mentioned,
67,5,Heiter,Mentioned,
67,6,Eisen,Flashback,
68,1,Stoltz,Chapter Cover,
68,2,Stark,,
68,3,Frieren,,
68,4,Fern,,
68,5,Northern Plateau border guard,,List of Characters/Minor#Continued Northern Travels Arc
68,6,Nachricht Region villager,,List of Characters/Minor#Continued Northern Travels Arc
68,7,Eisen,Flashback,
68,8,Heiter,Flashback,
68,9,Himmel,Flashback,
69,1,Stark,,
69,2,Fern,,
69,3,Frieren,,
69,4,Bier region tavern guests,Debut,List of Characters/Minor#Continued Northern Travels Arc
69,5,Heiter,Flashback,
69,6,Fass,Debut,
69,7,Eisen,Flashback,
69,8,Himmel,Flashback,
69,9,Demon King,Mentioned,
69,10,Milliarde,Flashback Debut,
70,1,Frieren,,
70,2,Fern,,
70,3,Stark,,
70,4,Norm,Debut,List of Characters/Minor#Named Characters
70,5,Norm Company miners,Debut,List of Characters/Minor#Continued Northern Travels Arc
70,6,Lord Norm,Flashback Debut,List of Characters/Minor#Named Characters
70,7,Goddess of Creation,Mentioned,
71,1,Rufen Region demon,,List of Characters/Minor#Divine Revolte Arc
71,2,Genau,,
71,3,Serie,Mentioned,
71,4,Baker's son,,List of Characters/Minor#Divine Revolte Arc
71,5,Methode,,
71,6,Goddess of Creation,Statue,
71,7,Frieren,,
71,8,Fern,,
71,9,Stark,,
71,10,Village garrison captain,,List of Characters/Minor#Divine Revolte Arc
72,1,Methode,,
72,2,Stark,,
72,3,Frieren,,
72,4,Fern,,
72,5,Genau,,
72,6,Serie,Flashback,
72,7,Genau's previous partner,Flashback,List of Characters/Minor#Divine Revolte Arc
72,8,Übel,Mentioned,
72,9,Eisen,Mentioned,
72,10,Young Demon,,List of Characters/Minor#Named Characters
72,11,Revolte,Debut,
73,1,Genau,,
73,2,Stark,,
73,3,Fern,,
73,4,Methode,,
73,5,Frieren,,
73,6,Serie,Flashback,
73,7,Fog Control Demon,,List of Characters/Minor#Unnamed Characters
73,8,Whirlwind Attack Demon,,List of Characters/Minor#Unnamed Characters
74,1,Fern,Chapter Cover,
74,2,Frieren,Chapter Cover,
74,3,Genau,,
74,4,Stark,,
74,5,Methode,Mentioned,
74,6,Revolte,,
74,7,Young Demon,,List of Characters/Minor#Named Characters
74,8,Genau's previous partner,Flashback,List of Characters/Minor#Divine Revolte Arc
74,9,Serie,Flashback,
